Country,Date, Order Value (USD) 
Canada,2019-01,"22,15,572"
Canada,2019-02,"20,90,147"
Canada,2019-03,"66,33,213"
Canada,2019-04,"20,67,832"
Canada,2019-05,"23,17,593"
Canada,2019-06,"18,81,192"
Canada,2019-07,"21,14,652"
Canada,2019-08,"23,59,333"
Canada,2019-09,"23,13,852"
Canada,2019-10,"21,66,828"
Canada,2019-11,"13,78,567"
Canada,2019-12,"10,87,918"
Canada,2020-01,"22,65,477"
Canada,2020-02,"20,47,556"
Canada,2020-03,"22,59,107"
Canada,2020-04,"13,70,325"
Canada,2020-05,"17,45,561"
Canada,2020-06,"18,31,255"
Canada,2020-07,"23,69,478"
Canada,2020-08,"20,56,343"
Canada,2020-09,"20,93,192"
Canada,2020-10,"21,05,721"
Canada,2020-11,"22,55,386"
Canada,2020-12,"22,11,021"
Canada,2021-01,"17,06,232"
Canada,2021-02,"20,10,066"
Canada,2021-03,"29,66,348"
Canada,2021-04,"20,61,600"
Canada,2021-05,"22,19,418"
Canada,2021-06,"32,20,240"
Canada,2021-07,"16,07,784"
Canada,2021-08,"20,87,082"
Canada,2021-09,"21,45,131"
Canada,2021-10,"18,28,532"
Canada,2021-11,"25,24,050"
Canada,2021-12,"20,05,192"
Canada,2022-01,"26,15,292"
Canada,2022-02,"22,11,830"
Canada,2022-03,"23,62,815"
Canada,2022-04,"19,07,099"
China,2019-01,"67,88,150"
China,2019-02,"29,46,703"
China,2019-03,"1,03,84,100"
China,2019-04,"63,49,900"
China,2019-05,"69,10,464"
China,2019-06,"1,14,52,573"
China,2019-07,"54,94,863"
China,2019-08,"68,97,073"
China,2019-09,"1,15,67,091"
China,2019-10,"58,03,067"
China,2019-11,"63,55,159"
China,2019-12,"85,06,604"
China,2020-01,"32,05,037"
China,2020-02,"39,43,972"
China,2020-03,"75,22,604"
China,2020-04,"79,36,152"
China,2020-05,"86,80,164"
China,2020-06,"83,64,270"
China,2020-07,"65,28,414"
China,2020-08,"68,08,921"
China,2020-09,"1,01,43,199"
China,2020-10,"88,99,390"
China,2020-11,"85,44,501"
China,2020-12,"86,63,998"
China,2021-01,"1,15,42,188"
China,2021-02,"48,78,807"
China,2021-03,"86,66,236"
China,2021-04,"1,10,69,604"
China,2021-05,"1,06,45,905"
China,2021-06,"87,88,134"
China,2021-07,"83,02,376"
China,2021-08,"82,42,795"
China,2021-09,"92,14,963"
China,2021-10,"73,02,937"
China,2021-11,"69,35,003"
China,2021-12,"1,02,88,788"
China,2022-01,"64,70,163"
China,2022-02,"55,38,321"
China,2022-03,"1,53,57,496"
China,2022-04,"74,05,658"
Germany,2019-01,"3,73,62,308"
Germany,2019-02,"2,34,48,750"
Germany,2019-03,"4,14,79,346"
Germany,2019-04,"2,65,91,458"
Germany,2019-05,"2,19,57,328"
Germany,2019-06,"2,30,21,238"
Germany,2019-07,"3,13,73,261"
Germany,2019-08,"2,92,58,260"
Germany,2019-09,"3,63,09,544"
Germany,2019-10,"4,29,21,957"
Germany,2019-11,"2,40,28,131"
Germany,2019-12,"2,23,15,489"
Germany,2020-01,"3,16,06,774"
Germany,2020-02,"2,65,64,499"
Germany,2020-03,"4,58,72,220"
Germany,2020-04,"2,59,47,712"
Germany,2020-05,"2,62,83,470"
Germany,2020-06,"2,64,38,396"
Germany,2020-07,"3,27,09,327"
Germany,2020-08,"3,09,98,384"
Germany,2020-09,"3,84,41,903"
Germany,2020-10,"4,78,01,237"
Germany,2020-11,"3,58,51,500"
Germany,2020-12,"2,25,08,377"
Germany,2021-01,"3,83,07,405"
Germany,2021-02,"3,03,60,479"
Germany,2021-03,"4,83,10,360"
Germany,2021-04,"3,70,47,808"
Germany,2021-05,"3,22,72,846"
Germany,2021-06,"3,45,07,147"
Germany,2021-07,"4,17,43,513"
Germany,2021-08,"3,99,49,283"
Germany,2021-09,"4,43,87,361"
Germany,2021-10,"4,84,15,642"
Germany,2021-11,"3,86,44,657"
Germany,2021-12,"2,56,66,483"
Germany,2022-01,"4,44,20,144"
Germany,2022-02,"3,27,98,618"
Germany,2022-03,"5,38,02,271"
Germany,2022-04,"3,83,77,436"
Italy,2019-01,"34,05,980"
Italy,2019-02,"64,55,787"
Italy,2019-03,"48,65,427"
Italy,2019-04,"15,03,276"
Italy,2019-05,"28,67,991"
Italy,2019-06,"56,26,950"
Italy,2019-07,"23,31,572"
Italy,2019-08,"11,01,189"
Italy,2019-09,"41,17,489"
Italy,2019-10,"22,18,890"
Italy,2019-11,"36,68,431"
Italy,2019-12,"44,67,684"
Italy,2020-01,"45,42,939"
Italy,2020-02,"55,90,894"
Italy,2020-03,"23,11,031"
Italy,2020-04,"6,50,852"
Italy,2020-05,"15,82,964"
Italy,2020-06,"58,49,718"
Italy,2020-07,"26,53,606"
Italy,2020-08,"12,69,077"
Italy,2020-09,"35,54,520"
Italy,2020-10,"27,48,923"
Italy,2020-11,"27,89,374"
Italy,2020-12,"57,19,366"
Italy,2021-01,"49,92,220"
Italy,2021-02,"63,73,609"
Italy,2021-03,"39,34,660"
Italy,2021-04,"28,29,705"
Italy,2021-05,"49,47,890"
Italy,2021-06,"45,25,279"
Italy,2021-07,"40,29,015"
Italy,2021-08,"18,65,661"
Italy,2021-09,"35,79,296"
Italy,2021-10,"30,88,479"
Italy,2021-11,"38,63,203"
Italy,2021-12,"23,95,501"
Italy,2022-01,"67,18,802"
Italy,2022-02,"93,06,489"
Italy,2022-03,"36,94,629"
Italy,2022-04,"46,63,863"
USA,2019-01,"2,71,64,330"
USA,2019-02,"2,49,54,358"
USA,2019-03,"2,59,69,581"
USA,2019-04,"3,06,32,227"
USA,2019-05,"3,27,10,666"
USA,2019-06,"2,68,13,526"
USA,2019-07,"3,11,60,874"
USA,2019-08,"3,24,46,305"
USA,2019-09,"2,99,68,108"
USA,2019-10,"3,15,09,410"
USA,2019-11,"2,63,81,090"
